FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,ARR_DELAY,DISTANCE
2021-01-01,B6,SEA,DEN,760,6,12,1060
2021-01-01,F9,ATL,MIA,1381,-24,-24,1276
2021-01-01,AS,ORD,MCO,295,38,22,1257
2021-01-01,F9,ATL,PHX,402,14,15,1952
2021-01-01,AS,CLT,SFO,386,2,-1,2828
2021-01-01,AS,CLT,LAX,110,6,7,1697
2021-01-01,F9,LAS,SFO,271,5,6,1866
2021-01-01,F9,DFW,SFO,2162,-14,-21,2093
2021-01-01,AA,CLT,JFK,394,-26,-24,285
2021-01-01,F9,SFO,MIA,32,2,-14,392
2021-01-01,AS,DFW,LAX,966,-21,-9,866
2021-01-01,WN,ATL,CLT,1935,16,23,1816
2021-01-01,B6,PHX,JFK,2162,-8,-18,1733
2021-01-01,AS,SEA,PHX,444,9,28,1477
2021-01-01,DL,MIA,ATL,1526,77,55,194
2021-01-01,NK,ORD,ORD,1551,25,31,2232
2021-01-01,F9,CLT,DFW,1645,45,29,1246
2021-01-01,AS,CLT,MCO,1718,31,54,2231
2021-01-01,WN,PHX,MCO,2073,26,45,1082
2021-01-01,NK,LAX,CLT,883,2,5,550
2021-01-01,F9,SFO,SFO,479,42,41,1110
2021-01-01,WN,ATL,JFK,2161,25,11,335
2021-01-01,NK,DFW,MCO,2129,2,0,2260
2021-01-01,NK,SFO,JFK,1069,33,43,2674
2021-01-01,WN,DFW,MIA,2164,-2,0,210
2021-01-01,WN,DFW,PHX,1073,7,3,156
2021-01-01,WN,SEA,MCO,1722,17,0,2496
2021-01-01,DL,SFO,LAS,1188,-18,-20,1576
2021-01-01,AA,ATL,PHX,193,-7,-6,1919
2021-01-01,UA,DEN,MIA,1373,12,16,2928
2021-01-01,AA,JFK,PHX,601,2,1,450
2021-01-01,UA,SFO,DEN,1506,-3,5,2188
2021-01-01,B6,SFO,MIA,760,-30,-30,1585
2021-01-01,F9,PHX,ORD,902,-3,-3,1369
2021-01-01,WN,SFO,SEA,555,52,60,929
2021-01-01,B6,LAX,ATL,659,34,37,248
2021-01-01,B6,JFK,LAX,2201,5,-2,386
2021-01-01,F9,LAS,SFO,1853,-5,-4,977
2021-01-01,UA,SFO,PHX,505,-32,-24,867
2021-01-01,DL,SFO,LAX,181,30,43,2434
2021-01-01,WN,MIA,PHX,1504,9,24,1678
2021-01-01,NK,LAX,LAS,381,-5,-14,1099
2021-01-01,AS,MIA,ATL,1001,-29,-27,1971
2021-01-01,F9,MIA,DFW,606,-2,-21,2886
2021-01-01,NK,SFO,CLT,1415,3,-2,271
2021-01-01,F9,LAS,MIA,224,-8,-9,202
2021-01-01,NK,ORD,SEA,1149,6,14,499
2021-01-01,B6,LAX,PHX,425,-28,-24,1164
2021-01-01,AA,JFK,CLT,275,-33,-27,1373
2021-01-01,NK,PHX,MIA,1234,-48,-30,2122
2021-01-01,WN,MIA,DFW,704,-21,-18,1147
2021-01-01,NK,LAX,PHX,1887,0,-1,1234
2021-01-01,DL,ATL,PHX,880,-29,-11,1496
2021-01-01,WN,MCO,DFW,2323,11,23,2701
2021-01-01,AS,PHX,DFW,1726,14,19,1884
2021-01-01,AS,DFW,MIA,762,-3,13,1147
2021-01-01,B6,LAS,ATL,359,-3,8,1944
2021-01-01,NK,MCO,ORD,1627,-34,-25,731
2021-01-01,AA,ORD,ORD,1671,15,15,1887
2021-01-01,B6,ORD,DEN,1185,28,35,1290
2021-01-01,DL,JFK,CLT,658,20,6,328
2021-01-01,UA,MIA,DEN,2312,5,12,1915
2021-01-01,AS,JFK,DFW,1015,-23,-18,1072
2021-01-01,AA,CLT,SFO,2113,-7,-13,2346
2021-01-01,AS,MIA,ATL,767,88,88,1087
2021-01-01,DL,MCO,JFK,545,-17,-19,335
2021-01-01,DL,JFK,LAS,1792,31,53,1005
2021-01-01,NK,CLT,LAX,2113,34,30,1024
2021-01-01,AS,CLT,LAS,1223,-18,-13,472
2021-01-01,B6,SFO,SFO,2276,-6,0,2141
2021-01-01,AS,DEN,SFO,1251,-37,-30,1807
2021-01-01,NK,DFW,DFW,490,-21,-17,293
2021-01-01,B6,ATL,MCO,1523,-34,-18,1537
2021-01-01,AS,MIA,DEN,1710,-1,-20,1285
2021-01-01,B6,JFK,PHX,1282,36,31,1666
2021-01-01,NK,CLT,JFK,34,40,39,2362
2021-01-01,UA,SEA,JFK,1482,15,14,2412
2021-01-01,WN,DFW,CLT,1955,-5,-13,1212
2021-01-01,WN,SFO,MCO,244,3,8,1024
2021-01-01,B6,ORD,PHX,2025,-31,-16,437
2021-01-01,B6,MIA,DEN,151,9,9,1792
2021-01-01,F9,DEN,MCO,838,33,45,1334
2021-01-01,F9,SFO,DFW,148,-2,-1,917
2021-01-01,UA,PHX,SEA,195,35,32,1569
2021-01-01,NK,SEA,MIA,726,10,2,2358
2021-01-01,WN,LAS,CLT,2186,20,34,1682
2021-01-01,UA,LAS,MCO,1526,-10,-20,2231
2021-01-01,F9,SFO,CLT,911,-36,-30,995
2021-01-01,F9,DFW,SEA,1230,42,37,1095
2021-01-01,DL,JFK,ORD,1719,13,0,1088
2021-01-02,AS,MIA,LAX,1088,-20,-15,205
2021-01-02,F9,DFW,ATL,831,34,43,1237
2021-01-02,WN,ORD,ATL,2086,11,0,2129
2021-01-02,B6,LAS,DFW,1015,71,57,325
2021-01-02,NK,DEN,MCO,397,-28,-30,890
2021-01-02,AA,CLT,LAX,1210,3,0,2558
2021-01-02,F9,ORD,ORD,1101,-19,-13,1860
2021-01-02,DL,LAS,ORD,1138,33,40,2727
2021-01-02,AS,ATL,SFO,1758,2,11,646
2021-01-02,AA,LAX,JFK,1689,8,16,2843
2021-01-02,UA,MIA,SEA,2292,-17,-18,2458
2021-01-02,AS,DFW,DEN,1710,12,19,769
2021-01-02,UA,LAX,LAS,953,9,1,1036
2021-01-02,UA,LAS,DFW,387,-17,-2,1266
2021-01-02,B6,MIA,PHX,2034,-3,6,1145
2021-01-02,UA,SFO,MCO,1884,-29,-30,1275
2021-01-02,F9,MIA,ORD,469,-39,-30,2416
2021-01-02,AA,LAX,SFO,1170,8,2,911
2021-01-02,DL,SEA,SFO,1759,26,15,2117
2021-01-02,NK,SEA,LAX,189,-20,-30,1628
2021-01-02,F9,DFW,LAS,1693,31,35,2083
2021-01-02,B6,MIA,CLT,1701,11,0,294
2021-01-02,DL,JFK,MIA,2337,-26,-30,2820
2021-01-02,UA,LAX,ATL,329,32,35,1920
2021-01-02,WN,LAS,LAX,751,32,26,2422
2021-01-02,AS,ORD,SEA,783,11,9,1005
2021-01-02,B6,LAX,LAX,2206,-17,-13,1172
2021-01-02,UA,PHX,CLT,2213,48,62,2669
2021-01-02,B6,DFW,SEA,1568,22,-1,2210
2021-01-02,WN,DEN,ORD,1576,12,11,1583
2021-01-02,NK,DFW,SFO,836,-6,-10,2207
2021-01-02,AA,PHX,MCO,2114,-1,-14,553
2021-01-02,F9,ORD,MIA,2155,5,18,1390
2021-01-02,AA,ORD,JFK,247,-16,-30,248
2021-01-02,AS,PHX,LAX,549,16,10,2595
2021-01-02,AA,MIA,LAS,2128,-36,-30,779
2021-01-02,NK,ORD,LAS,611,-13,-15,1416
2021-01-02,F9,ORD,SFO,2088,3,5,1407
2021-01-02,F9,JFK,DFW,2343,-6,-6,1061
2021-01-02,NK,DFW,ATL,2053,12,7,701
2021-01-02,WN,MIA,CLT,2212,-10,-9,229
2021-01-02,DL,SFO,LAS,1505,-29,-30,2014
2021-01-02,NK,SFO,CLT,48,35,19,461
2021-01-02,WN,DFW,LAX,1209,26,23,1901
2021-01-02,WN,ATL,SFO,1575,-50,-30,1407
2021-01-02,UA,LAS,MCO,1058,-39,-30,937
2021-01-02,NK,SFO,MIA,1971,-35,-30,2034
2021-01-02,AA,JFK,ATL,455,34,28,2940
2021-01-02,B6,DEN,DEN,1474,20,7,889
2021-01-02,F9,LAS,MIA,1522,-44,-30,526
2021-01-02,AS,MIA,CLT,2262,-7,-6,1718
2021-01-02,DL,LAS,LAS,2116,48,38,2213
2021-01-02,F9,MCO,MCO,554,52,45,840
2021-01-02,B6,SEA,ORD,791,54,39,393
2021-01-02,UA,JFK,CLT,811,11,17,442
2021-01-02,NK,CLT,ORD,1418,26,16,1233
2021-01-02,UA,SFO,CLT,319,16,23,1670
2021-01-02,DL,PHX,SEA,2208,28,21,1618
2021-01-02,B6,MIA,DEN,1303,-43,-28,317
2021-01-02,DL,ATL,SFO,1625,52,64,2385
2021-01-02,DL,LAX,SEA,2358,-4,-26,2239
2021-01-02,AA,LAS,PHX,985,2,0,1764
2021-01-02,NK,MCO,PHX,704,1,1,153
2021-01-02,B6,DFW,JFK,587,-5,-13,1519
2021-01-02,AA,SEA,DEN,691,-24,-30,2798
2021-01-02,F9,ORD,LAX,1621,-2,6,2091
2021-01-02,AA,LAX,LAS,489,24,15,1751
2021-01-02,F9,CLT,SFO,1368,3,4,1975
2021-01-02,AS,SFO,SFO,1537,36,27,1350
2021-01-02,AA,LAS,DEN,519,-9,-13,1605
2021-01-02,WN,ORD,ORD,302,7,19,2864
2021-01-02,UA,ATL,LAS,1730,60,44,1420
2021-01-02,UA,MIA,MCO,1007,15,25,2256
2021-01-02,WN,LAS,SEA,95,36,23,2445
2021-01-02,F9,DEN,CLT,1860,-33,-30,623
2021-01-02,F9,DEN,JFK,60,5,11,2018
2021-01-02,NK,ORD,PHX,1024,58,65,1579
2021-01-02,DL,MIA,PHX,236,-1,8,2891
2021-01-02,B6,CLT,MIA,1811,12,15,2563
2021-01-02,B6,CLT,LAX,1279,-37,-13,2313
2021-01-02,B6,ATL,SFO,449,-24,-29,2503
2021-01-02,AA,DFW,DEN,997,32,26,2066
2021-01-02,B6,JFK,CLT,471,34,27,571
2021-01-02,B6,LAS,JFK,1639,3,-3,864
2021-01-02,F9,LAX,MCO,1741,6,5,2264
2021-01-02,B6,SFO,MIA,1575,24,21,1066
2021-01-02,UA,MCO,LAS,1052,-22,-12,1586
2021-01-02,WN,ATL,MIA,803,31,30,2936
2021-01-02,AS,MCO,CLT,1288,-26,-18,1475
2021-01-02,F9,DFW,SFO,1581,59,54,909
2021-01-02,DL,MCO,ATL,963,12,6,1768
2021-01-02,WN,SEA,MCO,1627,9,12,2513
2021-01-02,B6,PHX,LAS,2119,1,8,1925
2021-01-02,DL,SFO,CLT,2160,-31,-18,2369
2021-01-02,DL,ORD,ATL,218,0,0,1997
2021-01-02,WN,ORD,MIA,8,-1,7,1900
2021-01-02,WN,DFW,ATL,229,-1,-1,317
2021-01-02,WN,CLT,ORD,955,-15,-12,1645
2021-01-02,F9,ORD,ORD,1831,3,14,325
2021-01-02,F9,CLT,LAX,68,-13,-22,1899
2021-01-02,AS,MCO,SEA,1434,18,1,2477
2021-01-02,WN,LAS,CLT,1959,-28,-11,379
2021-01-02,AS,PHX,DEN,232,35,32,923
2021-01-02,AA,CLT,ATL,1854,36,19,574
2021-01-02,NK,CLT,ATL,1143,37,22,345
2021-01-02,UA,LAS,LAX,1016,-2,-4,647
2021-01-02,NK,DFW,SFO,1059,36,25,708
2021-01-02,AS,PHX,LAS,1651,-18,4,2405
2021-01-02,UA,ORD,LAS,1730,10,13,581
2021-01-02,B6,CLT,LAS,87,9,6,591
2021-01-02,AA,ATL,MCO,870,-23,-24,1967
2021-01-02,DL,MCO,SEA,1997,-2,6,182
2021-01-02,WN,ATL,JFK,87,-6,-19,1275
2021-01-02,B6,DFW,SEA,1625,36,34,313
2021-01-02,DL,MCO,PHX,1406,-48,-30,1632
2021-01-02,F9,ORD,DEN,1811,16,16,712
2021-01-02,UA,MCO,PHX,1771,30,39,1070
2021-01-02,DL,LAX,MCO,1335,14,12,233
2021-01-02,NK,LAS,MCO,1133,48,46,1714
2021-01-02,WN,PHX,SEA,360,-18,-30,1868
2021-01-02,WN,PHX,CLT,1939,-6,-20,711
2021-01-02,NK,PHX,JFK,1210,-15,-15,2069
2021-01-02,AS,DEN,CLT,2235,-24,-12,288
2021-01-02,AS,ORD,ATL,2067,1,4,923
2021-01-02,F9,LAS,DFW,1744,38,32,1341
2021-01-02,UA,CLT,MCO,1891,70,66,949
2021-01-02,WN,DFW,DEN,394,-35,-30,2908
2021-01-02,AA,MCO,DFW,1504,41,35,1283
2021-01-02,B6,DEN,MIA,1036,-5,-14,1348
2021-01-03,UA,SEA,JFK,2117,-32,-20,816
2021-01-03,UA,PHX,MIA,1384,-24,-30,431
2021-01-03,DL,DEN,SFO,359,6,3,840
2021-01-03,UA,CLT,SEA,622,9,-2,208
2021-01-03,F9,SFO,SEA,1685,-23,-30,2944
2021-01-03,NK,ORD,CLT,98,-23,-16,2108
2021-01-03,B6,JFK,CLT,88,19,19,685
2021-01-03,AA,JFK,DEN,1620,23,28,1392
2021-01-03,DL,LAX,CLT,861,-17,-15,1386
2021-01-03,B6,MIA,PHX,1744,-35,-30,340
2021-01-03,NK,ATL,ORD,84,-14,-1,2154
2021-01-03,NK,SFO,PHX,1358,7,2,2119
2021-01-03,AS,ORD,ORD,461,4,8,1368
2021-01-03,UA,DEN,ATL,1799,0,-3,1600
2021-01-03,F9,CLT,MCO,1912,20,12,2817
2021-01-03,WN,DEN,ATL,573,10,12,593
2021-01-03,AS,SEA,ATL,1088,3,4,2089
2021-01-03,WN,DEN,MCO,2129,-4,-2,355
2021-01-03,B6,DEN,SEA,2070,-21,-19,1851
2021-01-03,AA,SEA,ORD,833,10,21,2794
2021-01-03,WN,SFO,CLT,755,14,26,928
2021-01-03,F9,LAX,LAS,197,-21,-4,1637
2021-01-03,B6,ATL,ORD,595,-1,1,545
2021-01-03,DL,SEA,MIA,2245,-29,-27,768
2021-01-03,UA,DFW,MIA,900,16,6,736
2021-01-03,AA,DEN,CLT,1616,56,49,1721
2021-01-03,NK,SFO,SEA,1355,-7,11,955
2021-01-03,F9,ATL,MIA,351,19,25,373
2021-01-03,F9,LAS,MCO,494,25,16,383
2021-01-03,AA,SEA,ATL,2308,1,11,498
2021-01-03,DL,PHX,ORD,519,-12,-20,2251
2021-01-03,AA,PHX,ATL,1250,4,10,1070
2021-01-03,B6,MCO,MCO,2166,41,40,1283
2021-01-03,AA,DFW,LAS,2223,17,1,2091
2021-01-03,AA,JFK,ORD,1175,16,17,1625
2021-01-03,AA,SEA,MCO,1067,22,30,2886
2021-01-03,NK,ATL,MCO,1893,18,23,486
2021-01-03,B6,LAS,DEN,1715,-12,-16,399
2021-01-03,AS,DFW,SEA,1626,0,-2,574
2021-01-03,UA,DEN,MCO,761,6,7,2790
2021-01-03,WN,CLT,MCO,2057,58,58,2420
2021-01-03,AS,JFK,SFO,2030,-24,-28,2773
2021-01-03,AA,MCO,LAS,253,32,23,2124
2021-01-03,DL,PHX,MIA,494,39,52,831
2021-01-03,F9,ORD,SFO,520,15,31,911
2021-01-03,DL,MCO,ATL,1606,-7,-1,2888
2021-01-03,B6,CLT,SFO,1376,36,27,2850
2021-01-03,UA,JFK,SFO,2007,-8,4,2480
2021-01-03,AA,PHX,LAX,671,13,16,1853
2021-01-03,B6,LAX,SFO,1713,36,32,1453
2021-01-03,WN,DEN,LAX,602,16,32,1141
2021-01-03,UA,ORD,ATL,21,-30,-1,1906
2021-01-03,UA,DFW,LAS,319,36,30,2867
2021-01-03,B6,LAS,MCO,489,1,0,2682
2021-01-03,AS,ORD,MCO,150,6,4,2490
2021-01-03,F9,DEN,DEN,573,-20,-28,831
2021-01-03,DL,CLT,SFO,278,38,16,2991
2021-01-03,AS,MIA,MCO,126,-12,-9,1893
2021-01-03,UA,LAS,JFK,1100,-38,-30,151
2021-01-03,DL,SFO,CLT,1735,21,14,1471
2021-01-03,UA,SEA,MCO,2116,14,23,2030
2021-01-03,NK,DFW,ORD,1035,-45,-30,1825
2021-01-03,F9,LAS,PHX,556,-34,-11,2989
2021-01-03,UA,PHX,DFW,2035,23,20,2218
2021-01-03,UA,LAX,LAX,2135,-2,-13,1831
2021-01-03,WN,PHX,DEN,410,-21,-14,2947
2021-01-03,DL,LAX,SEA,1875,-5,5,1378
2021-01-03,WN,DFW,MCO,920,2,14,321
2021-01-03,DL,LAX,SEA,790,5,4,1510
2021-01-03,F9,ORD,ATL,704,18,5,194
2021-01-03,F9,DEN,DEN,1695,4,13,1269
2021-01-03,NK,ORD,CLT,922,5,-1,1901
2021-01-03,WN,ATL,PHX,1171,19,22,1705
2021-01-03,WN,SEA,SEA,235,24,10,1141
2021-01-03,WN,ORD,JFK,309,1,0,2676
2021-01-03,F9,MIA,MCO,2250,-22,-24,399
2021-01-03,F9,JFK,LAS,256,-27,-22,845
2021-01-03,B6,ORD,MIA,2020,33,21,2908
2021-01-03,WN,LAS,JFK,712,22,8,218
2021-01-03,NK,ORD,SEA,972,24,25,2076
2021-01-03,AS,SEA,LAS,1133,20,4,875
2021-01-03,AS,ORD,JFK,1644,1,-9,423
2021-01-03,UA,ORD,SEA,531,29,17,1681
2021-01-03,AA,DEN,ORD,630,1,-1,233
2021-01-03,WN,SFO,SEA,371,40,36,2764
2021-01-03,AA,DEN,MIA,2012,3,4,1280
2021-01-03,AA,LAS,MIA,226,-15,-30,1989
2021-01-03,UA,JFK,PHX,1403,49,52,2402
2021-01-03,AA,ATL,ORD,1095,35,47,2172
2021-01-03,NK,LAS,ATL,468,40,38,812
2021-01-03,F9,ORD,MCO,1129,28,34,221
2021-01-03,AA,CLT,CLT,727,-12,-12,2463
2021-01-03,F9,PHX,SEA,1138,-43,-28,2944
2021-01-03,F9,ORD,PHX,1444,46,47,2741
2021-01-03,AS,CLT,SFO,2056,-17,-30,745
2021-01-03,F9,DFW,DEN,2165,-3,10,1097
2021-01-03,AA,ATL,DFW,102,-33,-23,618
2021-01-03,DL,SEA,PHX,1470,8,-7,2894
2021-01-03,NK,JFK,ORD,750,10,16,2604
2021-01-03,WN,SFO,ORD,73,64,46,2347
2021-01-03,NK,CLT,LAS,1205,0,19,1798
2021-01-03,NK,JFK,ATL,498,19,8,1719
2021-01-03,WN,ATL,DFW,49,-34,-26,1910
2021-01-03,AA,DEN,LAS,457,6,2,2882
2021-01-03,UA,LAS,LAS,2288,8,3,1186
2021-01-03,DL,ORD,MCO,1725,62,63,825
2021-01-03,UA,DEN,LAS,267,3,0,2099
2021-01-03,UA,JFK,PHX,555,-13,-17,1322
2021-01-03,AA,DEN,ORD,1073,14,17,2457
2021-01-03,B6,DFW,DEN,1298,-26,-28,1867
2021-01-03,AA,LAX,SEA,2276,1,-16,404
2021-01-03,AS,DEN,DFW,2176,-1,3,927
2021-01-03,B6,MCO,MIA,1949,27,32,2617
2021-01-03,F9,ATL,MCO,1685,-13,-23,2282
2021-01-03,DL,ATL,DFW,931,44,45,761
2021-01-03,B6,CLT,DFW,414,-18,-10,2773
2021-01-03,AA,MIA,JFK,1805,27,34,1097
2021-01-03,AA,DFW,PHX,168,5,-4,1561
2021-01-03,UA,ATL,CLT,878,10,14,1513
2021-01-03,AA,LAX,ORD,1251,9,1,803
2021-01-03,F9,DEN,MIA,2120,-38,-30,2643
2021-01-03,AS,SFO,LAX,373,-27,-22,2484
2021-01-03,AA,MIA,CLT,444,10,5,816
2021-01-03,WN,PHX,LAS,955,26,20,2556
2021-01-03,WN,DEN,MIA,2316,6,2,619
2021-01-03,UA,SEA,SFO,1667,0,14,2625
2021-01-03,B6,MCO,DFW,1657,-32,-12,2337
2021-01-03,B6,JFK,SFO,533,-31,-17,633
2021-01-03,WN,SFO,PHX,1014,50,27,2148
2021-01-03,AS,ORD,PHX,1470,-20,-30,1757
2021-01-03,DL,SEA,PHX,948,15,33,2396
2021-01-03,F9,MCO,LAX,1383,27,30,1180
2021-01-03,NK,DEN,ORD,2121,18,15,2756
2021-01-03,F9,CLT,MIA,2019,-4,1,1059
2021-01-03,F9,MIA,MCO,1150,36,40,1650
2021-01-03,AS,SEA,LAX,1245,-25,-30,2448
2021-01-03,WN,JFK,CLT,1608,39,34,2450
2021-01-03,F9,LAX,LAX,480,15,24,169
2021-01-03,AS,LAS,MCO,1878,40,37,591
2021-01-03,DL,LAX,SFO,1173,35,33,899
2021-01-03,B6,JFK,LAX,1180,7,0,929
2021-01-03,WN,SEA,LAX,2112,13,31,1425
2021-01-03,NK,LAX,MCO,2069,-16,-11,747
2021-01-03,AA,MCO,ORD,1101,-10,-14,1645
2021-01-03,F9,SFO,ORD,1777,-30,-14,2778
2021-01-03,DL,ATL,JFK,1027,9,-2,340
2021-01-03,DL,DFW,MCO,455,5,-14,1008
2021-01-03,DL,PHX,DFW,1608,18,6,1358
2021-01-03,B6,CLT,LAS,1248,-7,-13,1715
2021-01-03,AS,LAS,MCO,645,21,2,2828
2021-01-03,UA,MCO,MIA,918,-25,-25,2705
2021-01-03,F9,ORD,DEN,1013,22,23,811
2021-01-03,AA,LAS,CLT,1507,21,16,1973
2021-01-03,F9,PHX,MCO,1491,4,7,2985
2021-01-03,WN,CLT,ORD,1849,9,17,334
2021-01-03,NK,DFW,MIA,32,16,32,2658
2021-01-03,AS,ATL,SEA,444,-29,-20,2223
2021-01-03,DL,MCO,LAS,1680,8,8,367
2021-01-03,NK,DEN,DFW,1092,13,-4,1857
2021-01-03,F9,SEA,ORD,120,-35,-30,594
2021-01-03,B6,SFO,MIA,684,10,-6,1208
2021-01-03,DL,DEN,LAS,1347,-17,-5,949
2021-01-03,AS,SEA,DFW,1913,-33,-30,1285
2021-01-03,WN,DEN,JFK,1626,-19,-18,1247
2021-01-04,NK,DEN,SEA,698,6,3,1402
2021-01-04,AA,ORD,PHX,803,-12,-30,973
2021-01-04,DL,JFK,SFO,1537,-8,5,1516
2021-01-04,F9,SEA,ATL,138,-42,-30,2574
2021-01-04,F9,DFW,ATL,950,-18,-20,2354
2021-01-04,NK,MCO,LAX,2076,-6,-14,1314
2021-01-04,B6,LAX,MCO,753,-10,-6,178
2021-01-04,NK,DFW,SEA,1638,31,25,1039
2021-01-04,B6,JFK,MIA,2321,0,-2,1642
2021-01-04,UA,MIA,LAX,108,6,6,2479
2021-01-04,B6,JFK,SEA,249,30,28,1532
2021-01-04,UA,SEA,DFW,1044,33,32,1161
2021-01-04,AA,LAS,ATL,2209,-32,-30,533
2021-01-04,WN,CLT,MCO,41,-36,-30,366
2021-01-04,UA,DEN,SEA,66,25,25,1420
2021-01-04,DL,MCO,SFO,55,-21,-30,1509
2021-01-04,AS,ORD,JFK,1977,-24,-21,1200
2021-01-04,F9,DFW,JFK,2050,23,22,2911
2021-01-04,DL,DEN,LAS,1501,35,23,1893
2021-01-04,F9,ATL,DFW,1327,22,23,1560
2021-01-04,WN,MIA,CLT,136,11,20,1720
2021-01-04,NK,PHX,LAX,1388,30,18,2167
2021-01-04,B6,LAS,CLT,2261,41,36,487
2021-01-04,AS,MIA,MCO,2009,20,23,372
2021-01-04,DL,DFW,PHX,50,11,24,2334
2021-01-04,AS,CLT,JFK,1053,-22,-23,2351
2021-01-04,UA,DEN,CLT,2162,-23,-30,2772
2021-01-04,WN,SEA,MIA,949,40,44,2416
2021-01-04,DL,DEN,ORD,449,-8,0,665
2021-01-04,B6,PHX,DFW,1708,-22,-17,1493
2021-01-04,AS,LAX,JFK,2037,-35,-30,1631
2021-01-04,B6,CLT,ATL,1336,-9,1,2537
2021-01-04,AS,PHX,ATL,1590,32,30,1585
2021-01-04,DL,MIA,MIA,2192,45,38,1439
2021-01-04,WN,SEA,PHX,1156,10,21,2803
2021-01-04,AA,MCO,CLT,651,-3,19,2010
2021-01-04,DL,SFO,JFK,2236,0,9,628
2021-01-04,B6,PHX,SEA,2,26,23,1863
2021-01-04,AA,LAX,DFW,617,20,13,458
2021-01-04,NK,SEA,DEN,1330,10,11,2901
2021-01-04,WN,JFK,SFO,273,-14,0,861
2021-01-04,B6,LAS,CLT,789,3,-1,1073
2021-01-04,WN,CLT,MCO,698,8,-5,993
2021-01-04,AS,MCO,SFO,790,-12,-8,796
2021-01-04,DL,PHX,SFO,796,40,44,1576
2021-01-04,WN,ORD,SFO,1966,19,22,1924
2021-01-04,B6,SFO,DFW,475,21,32,1966
2021-01-04,DL,DFW,DEN,1076,23,29,201
2021-01-04,F9,SEA,MIA,362,6,13,215
2021-01-04,B6,DFW,MCO,1461,38,39,2288
2021-01-04,B6,SFO,MIA,783,2,5,821
2021-01-04,F9,SEA,SFO,680,12,10,827
2021-01-04,F9,MIA,ORD,359,-16,-23,2299
2021-01-04,AA,SFO,DEN,1082,-17,-25,2536
2021-01-04,UA,PHX,SFO,757,-2,1,1761
2021-01-04,WN,SEA,LAX,298,-30,-12,2141
